threshold,recallSensitivity,specificity,precision,f1,accuracy,balancedAccuracy,negativePredictiveValue,tn,fp,fn,tp,auroc,auprc,brier,ece
0.57,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.571,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.572,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.573,0.7537986784288733,0.7955306508236565,0.8165863230057412,0.7839373026901005,0.7727019737123775,0.7746646646262649,0.7279365432373327,58917,15143,22020,67419,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.574,0.7537986784288733,0.7955306508236565,0.8165863230057412,0.7839373026901005,0.7727019737123775,0.7746646646262649,0.7279365432373327,58917,15143,22020,67419,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.575,0.7537986784288733,0.7955306508236565,0.8165863230057412,0.7839373026901005,0.7727019737123775,0.7746646646262649,0.7279365432373327,58917,15143,22020,67419,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.576,0.7537986784288733,0.7955306508236565,0.8165863230057412,0.7839373026901005,0.7727019737123775,0.7746646646262649,0.7279365432373327,58917,15143,22020,67419,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.577,0.7537986784288733,0.7955306508236565,0.8165863230057412,0.7839373026901005,0.7727019737123775,0.7746646646262649,0.7279365432373327,58917,15143,22020,67419,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.578,0.7537986784288733,0.7955306508236565,0.8165863230057412,0.7839373026901005,0.7727019737123775,0.7746646646262649,0.7279365432373327,58917,15143,22020,67419,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.579,0.7537986784288733,0.7955306508236565,0.8165863230057412,0.7839373026901005,0.7727019737123775,0.7746646646262649,0.7279365432373327,58917,15143,22020,67419,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.58,0.7537986784288733,0.7955306508236565,0.8165863230057412,0.7839373026901005,0.7727019737123775,0.7746646646262649,0.7279365432373327,58917,15143,22020,67419,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.581,0.7537986784288733,0.7955306508236565,0.8165863230057412,0.7839373026901005,0.7727019737123775,0.7746646646262649,0.7279365432373327,58917,15143,22020,67419,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.582,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.583,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.584,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.585,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.586,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.587,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.588,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.589,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.59,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.591,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.592,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.593,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.594,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.595,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.596,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.597,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.598,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.599,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.6,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.601,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.602,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.603,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.604,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.605,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.606,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.607,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.608,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.609,0.728373528326569,0.8153119092627599,0.8264719688415818,0.7743281311288348,0.7677539312167047,0.7718427187946644,0.7130946194907648,60382,13678,24294,65145,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.61,0.6742137099028388,0.8543208209559816,0.8482346321564215,0.751278585177756,0.7557966715392754,0.7642672654294103,0.6846843922128797,63271,10789,29138,60301,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.611,0.6742137099028388,0.8543208209559816,0.8482346321564215,0.751278585177756,0.7557966715392754,0.7642672654294103,0.6846843922128797,63271,10789,29138,60301,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.612,0.6742137099028388,0.8543208209559816,0.8482346321564215,0.751278585177756,0.7557966715392754,0.7642672654294103,0.6846843922128797,63271,10789,29138,60301,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.613,0.6742137099028388,0.8543208209559816,0.8482346321564215,0.751278585177756,0.7557966715392754,0.7642672654294103,0.6846843922128797,63271,10789,29138,60301,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.614,0.6742137099028388,0.8543208209559816,0.8482346321564215,0.751278585177756,0.7557966715392754,0.7642672654294103,0.6846843922128797,63271,10789,29138,60301,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
